Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,
2022-03-24,2022,3,24,Thursday,12,2022-12,138.06,140.16,136.83,140.08,20544000,0.02027777299256961,132.32214285714286,133.6164
2022-03-25,2022,3,25,Friday,12,2022-12,140.52,140.72,138.48,140.28,19270000,0.0014823388928666414,133.38785714285714,133.6138
2022-03-28,2022,3,28,Monday,13,2022-13,139.45,140.74,138.61,140.71,23774000,0.0030278359245112796,134.42642857142857,133.6696
2022-03-29,2022,3,29,Tuesday,13,2022-13,141.91,142.9,141.24,142.0,28678000,0.009158239650418176,135.09071428571428,133.7384
2022-03-30,2022,3,30,Wednesday,13,2022-13,141.62,142.23,140.93,141.4,21046000,-0.004226957167887124,135.79642857142858,133.86440000000002
2022-03-31,2022,3,31,Thursday,13,2022-13,141.2,141.4,138.4,138.43,29516000,-0.02099615513655473,136.44571428571427,133.9436
2022-04-01,2022,4,1,Friday,13,2022-13,138.79,139.72,137.58,139.47,23480000,0.007522306063049378,137.43428571428572,134.0862
2022-04-04,2022,4,4,Monday,14,2022-14,139.59,142.78,139.59,142.39,19076000,0.02091314447358994,138.42428571428573,134.35479999999998
2022-04-05,2022,4,5,Tuesday,14,2022-14,142.15,142.34,139.71,139.83,19256000,-0.017957813984725512,138.94642857142858,134.5668
2022-04-06,2022,4,6,Wednesday,14,2022-14,137.95,138.63,135.23,135.98,23574000,-0.027554947081528947,139.12928571428571,134.77380000000002
2022-04-07,2022,4,7,Thursday,14,2022-14,135.42,136.5,133.68,135.27,19448000,-0.0051831379524445165,139.105,134.917
2022-04-08,2022,4,8,Friday,14,2022-14,135.06,135.06,132.58,132.84,16434000,-0.01798626721448615,138.93,135.014
2022-04-11,2022,4,11,Monday,15,2022-15,131.74,131.78,128.48,128.66,24188000,-0.03144540232921755,138.18785714285713,134.9448
2022-04-12,2022,4,12,Tuesday,15,2022-15,131.27,131.27,126.46,127.25,23004000,-0.010955467267552144,137.47071428571428,134.7996
2022-04-13,2022,4,13,Wednesday,15,2022-15,127.5,129.51,127.32,129.15,19542000,0.014890060684394246,136.69,134.6492
2022-04-14,2022,4,14,Thursday,15,2022-15,129.51,129.57,126.0,126.14,23484000,-0.02327967068223835,135.68,134.2372
2022-04-18,2022,4,18,Monday,16,2022-16,126.3,127.59,125.47,126.84,14918000,0.005563844097931092,134.68928571428572,133.946
2022-04-19,2022,4,19,Tuesday,16,2022-16,126.96,129.76,126.34,129.39,22720000,0.02008436065439856,133.78857142857143,133.6984
2022-04-20,2022,4,20,Wednesday,16,2022-16,130.14,130.77,126.78,127.12,22610000,-0.017509485574874084,132.76857142857142,133.4864
2022-04-21,2022,4,21,Thursday,16,2022-16,128.22,129.17,123.56,123.85,30158000,-0.02579417175769405,131.72714285714284,133.2034
2022-04-22,2022,4,22,Friday,16,2022-16,123.91,124.36,118.1,118.57,46410000,-0.04260932722795785,130.23428571428573,132.7704
2022-04-25,2022,4,25,Monday,17,2022-17,118.39,122.2,117.73,122.17,34522000,0.03039773564499537,128.79,132.466
2022-04-26,2022,4,26,Tuesday,17,2022-17,121.68,121.68,118.12,118.46,49394000,-0.03037729936569522,127.26357142857144,132.17600000000002
2022-04-27,2022,4,27,Wednesday,17,2022-17,113.37,116.47,112.14,114.02,62238000,-0.037533667980657937,125.69500000000001,131.774
